Year,Team,League
2024,Mainz Legionaries,DFFL
2024,Duisburg Dragons,DFFL
2024,Trier Biber,DFFL
2024,Mülheim Shamrocks,DFFL
2024,Lichtenberg Lions,DFFL
2024,Oldenburg Orcas,DFFL
2024,Lübeck Flag Cougars,DFFL
2024,Baltic Blue Stars Rostock e.V.,DFFL
2024,Munich Spatzen,DFFL
2024,Augsburg Lions,DFFL
2024,Nürnberg Renegades,DFFL
2024,Würzburg Wombats,DFFL
2024,Walldorf Wanderers,DFFL
2024,SG Kelkheim Lizzards,DFFL
2024,1. ASC Badener Greifs,DFFL
2024,Stuttgart Scorpions,DFFL
2023,Mainz Legionaries,DFFL
2023,Duisburg Dragons,DFFL
2023,Trier Biber,DFFL
2023,Mülheim Shamrocks,DFFL
2023,Lichtenberg Lions,DFFL
2023,ASC Magdeburg e.V.,DFFL
2023,Lübeck Flag Cougars,DFFL
2023,Baltic Blue Stars Rostock e.V.,DFFL
2023,Munich Spatzen,DFFL
2023,Augsburg Lions,DFFL
2023,Munich Spatzen 2,DFFL
2023,Würzburg Wombats,DFFL
2023,Walldorf Wanderers,DFFL
2023,SG Kelkheim Lizzards,DFFL
2023,1. ASC Badener Greifs,DFFL
2023,Stuttgart Scorpions,DFFL
2025,Mainz Legionaries,DFFL
2025,Duisburg Dragons,DFFL
2025,Trier Biber,DFFL
2025,Mülheim Shamrocks,DFFL
2025,Lichtenberg Lions,DFFL
2025,Oldenburg Orcas,DFFL
2025,Lübeck Flag Cougars,DFFL
2025,Strelitz Dukes,DFFL
2025,Munich Spatzen,DFFL
2025,Augsburg Lions,DFFL
2025,Nürnberg Renegades,DFFL
2025,Würzburg Wombats,DFFL
2025,Walldorf Wanderers,DFFL
2025,SG Kelkheim Lizzards,DFFL
2025,1. ASC Badener Greifs,DFFL
2025,Bornheim Badgers,DFFL